title,artist,year,spotify
Mr. Brightside,The Killers,2004,003vvx7Niy0yvhvHt4a68B
Teenage Dirtbag,Wheatus,1999,25FTMokYEbEWHEdss5JLZS
Don't Stop Believin',Journey,1981,5RKQ5NdjSh2QzD4MaunT91
Paradise City,Guns N' Roses,1987,6eN1f9KNmiWEhpE2RhQqB5
Bitter Sweet Symphony,The Verve,1997,57iDDD9N9tTWe75x6qhStw
Livin' On A Prayer,Bon Jovi,1986,0ee1DiZF94NSqqpG0XHUzH
Highway to Hell,AC/DC,1979,2zYzyRzz6pRmhPzyfMEC8s
Tubthumping,Chumbawamba,1997,5YScXJKtefsgdskIy60N7A
"Love Is All Around - From ""Four Weddings And A Funeral""",Wet Wet Wet,1995,0PCGfA36HrVPmsBZJ57zOU
Wonderwall,Oasis,1995,7ygpwy2qP3NbrxVkHvUhXY
I'll Be Missing You,Diddy & 112 & Faith Evans,2022,25tsnA5lDP4UctAQOoa8Ks
Cigarettes & Alcohol,Oasis,1994,5adjc9rGazKvYcyEHNtoz1
Don't Look Back In Anger,Oasis,1995,12dU3vAh6AFoJkisorfoUl
Champagne Supernova,Oasis,1995,2A7GGXmTlXuH9LOvBXgOX4
Dancing in the Moonlight,Toploader,2000,3Fzlg5r1IjhLk2qRw667od
Dog Days Are Over,Florence + The Machine,2009,456WNXWhDwYOSf5SpTuqxd
Clocks,Coldplay,2002,0BCPKOYdS2jbQ8iyB56Zns
Somewhere Only We Know,Keane,2004,1SKPmfSYaPsETbRHaiA18G
Kids,MGMT,2007,1jJci4qxiYcOHhQR247rEU
Fuck You,CeeLo Green,2010,3ydfhgIZIc2j39NLIhpJpq
Ms. Jackson,Outkast,2000,0I3q5fE6wg7LIfHGngUTnV
Walking On A Dream,Empire Of The Sun,2008,5r5cp9IpziiIsR6b93vcnQ
Young Folks,Peter Bjorn and John,2006,4dyx5SzxPPaD8xQIid5Wjj
With Or Without You,U2,1987,5JGEAz15LkPoOtFHttDtVs
Basket Case,Green Day,1994,6L89mwZXSOwYl76YXfX13s
Hey Ya!,Outkast,2003,2PpruBYCo4H7WOBJ7Q2EwM
Feel Good Inc.,Gorillaz & De La Soul,2005,0d28khcov6AiegSCpG5TuT
Under the Bridge,Red Hot Chili Peppers,1991,3d9DChrdc6BOeFsbrZ3Is0
Snow (Hey Oh),Red Hot Chili Peppers,2006,2aibwv5hGXSgw7Yru8IYTO
Everybody Wants To Rule The World,Tears For Fears,1985,2YiCMmONQcoMPX2bV1LxE0
Dreams,Fleetwood Mac,1977,0ofHAoxe9vBkTCp2UQIavz
We Didn't Start the Fire,Billy Joel,1989,3Cx4yrFaX8CeHwBMReOWXI
Another One Bites The Dust,Queen,1980,5vdp5UmvTsnMEMESIF2Ym7
Celebration - Single Version,Kool & The Gang,1980,0CUEc6T65lrU6rVW3HVYsl
Sex on Fire,Kings of Leon,2008,0ntQJM78wzOLVeCUAW7Y45
Brother Louie,Modern Talking,1986,5zWZ9iNevP0397xB3jWV2z
You Give Love A Bad Name,Bon Jovi,1986,0rmGAIH9LNJewFw7nKzZnc
September,"Earth, Wind & Fire",1978,3kXoKlD84c6OmIcOLfrfEs
